"Symbol: $SRUT",,,,,
"Date Time","Open","High","Low","Close","Change"
2000-01-03,138.75,138.75,138.75,138.75,0
2000-01-04,138.91,138.91,138.91,138.91,0.1599999999999966
2000-01-05,144.08,144.08,144.08,144.08,5.170000000000016
2000-01-06,146.09,146.09,146.09,146.09,2.009999999999991
2000-01-07,148.39,148.39,148.39,148.39,2.299999999999983
2000-01-10,147.42,147.42,147.42,147.42,-0.9699999999999989
2000-01-11,146.77,146.77,146.77,146.77,-0.6499999999999773
2000-01-12,149.5,149.5,149.5,149.5,2.7299999999999898
2000-01-13,150.38,150.38,150.38,150.38,0.8799999999999955
2000-01-14,151.68,151.68,151.68,151.68,1.3000000000000114
2000-01-18,149,149,149,149,-2.680000000000007
2000-01-19,149.5,149.5,149.5,149.5,0.5
2000-01-20,154.78,154.78,154.78,154.78,5.280000000000001
2000-01-21,158.99,158.99,158.99,158.99,4.210000000000008
2000-01-24,156.81,156.81,156.81,156.81,-2.180000000000007
2000-01-25,153.01,153.01,153.01,153.01,-3.8000000000000114
2000-01-26,154.33,154.33,154.33,154.33,1.3200000000000216
2000-01-27,154.24,154.24,154.24,154.24,-0.09000000000000341
2000-01-28,152.07,152.07,152.07,152.07,-2.170000000000016
2000-01-31,157.63,157.63,157.63,157.63,5.560000000000002
2000-02-01,156.12,156.12,156.12,156.12,-1.509999999999991
2000-02-02,154.88,154.88,154.88,154.88,-1.240000000000009
2000-02-03,157.3,157.3,157.3,157.3,2.420000000000016
2000-02-04,153.37,153.37,153.37,153.37,-3.930000000000007
2000-02-07,153.52,153.52,153.52,153.52,0.15000000000000568
2000-02-08,156.11,156.11,156.11,156.11,2.5900000000000034
2000-02-09,155.35,155.35,155.35,155.35,-0.7600000000000193
2000-02-10,154.71,154.71,154.71,154.71,-0.6399999999999864
2000-02-11,153.41,153.41,153.41,153.41,-1.3000000000000114
2000-02-14,154.83,154.83,154.83,154.83,1.420000000000016
2000-02-15,155.47,155.47,155.47,155.47,0.6399999999999864
2000-02-16,155.57,155.57,155.57,155.57,0.09999999999999432
2000-02-17,154.9,154.9,154.9,154.9,-0.6699999999999875
2000-02-18,152.39,152.39,152.39,152.39,-2.5100000000000193
2000-02-22,150.43,150.43,150.43,150.43,-1.9599999999999795
2000-02-23,148.33,148.33,148.33,148.33,-2.0999999999999943
2000-02-24,145.04,145.04,145.04,145.04,-3.2900000000000205
2000-02-25,142.42,142.42,142.42,142.42,-2.6200000000000045
2000-02-28,146.08,146.08,146.08,146.08,3.660000000000025
2000-02-29,147.16,147.16,147.16,147.16,1.079999999999984
2000-03-01,146.57,146.57,146.57,146.57,-0.5900000000000034
2000-03-02,147.51,147.51,147.51,147.51,0.9399999999999977
2000-03-03,148.49,148.49,148.49,148.49,0.9800000000000182
2000-03-06,143.95,143.95,143.95,143.95,-4.5400000000000205
2000-03-07,144.09,144.09,144.09,144.09,0.14000000000001478
2000-03-08,142.18,142.18,142.18,142.18,-1.9099999999999966
2000-03-09,141.65,141.65,141.65,141.65,-0.5300000000000011
2000-03-10,142.71,142.71,142.71,142.71,1.0600000000000023
2000-03-13,141.39,141.39,141.39,141.39,-1.3200000000000216
2000-03-14,139.89,139.89,139.89,139.89,-1.5
2000-03-15,145.58,145.58,145.58,145.58,5.690000000000026
